,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
157,Left 4 Dead 2," Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better", 2 GB RAM,1, Pentium 4 3.0GHz, 13 GB available space,550,"₩ 11,000",Valve,Valve,Action,"16 Nov, 2009","['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Online Co-Op', 'Action', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']",Overwhelmingly Positive,686543,10,10,1
158,Enshrouded, NVIDIA GeForce GTX 1060 (req. 6GB VRAM) / AMD Radeon RX 580 (req. 6GB VRAM) / Intel ARC A380, 16 GB RAM, Windows 10, Intel Core i5-6400 (2.7 GHz 4 Core) / AMD Ryzen 5 1500X (3.5 GHz 4 Core) or equivalent, 60 GB available space,1203620,"₩ 6,640",Keen Games GmbH,Keen Games GmbH,Action,"24 Jan, 2024","['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'RPG', 'Action RPG', 'Building', 'Adventure', 'Exploration', 'Singleplayer', 'Fantasy', 'Sandbox', 'Character Customization', 'Early Access', 'Action', 'PvE', '3D', 'Indie']",Very Positive,54457,9,10,1
159,Hollow Knight, GeForce 9800GTX+ (1GB), 4 GB RAM,1, Intel Core 2 Duo E5200, 9 GB available space,367520,"₩ 8,000",Team Cherry,Team Cherry,Action,"24 Feb, 2017","['Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', '2D', 'Difficult', 'Indie', 'Singleplayer', 'Atmospheric', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']",Overwhelmingly Positive,337705,10,10,1
160,Dead Space," AMD RX 5700, GTX 1070", 16 GB RAM, Window 10 64-bit +," Ryzen 5 2600x, Core i5 8600", 50 GB available space,1693980,"₩ 11,000",Motive,Electronic Arts,Action,"27 Jan, 2023","['Horror', 'Third-Person Shooter', 'Sci-fi', 'Space', 'Survival Horror', 'Shooter', 'Psychological Horror', 'Action-Adventure', 'Singleplayer', 'Third Person', 'Atmospheric', 'Action', 'Survival', 'Aliens', 'Remake', 'Dark', 'Adventure', 'Violent', 'Combat', 'Blood']",Very Positive,39187,9,10,1
161,Call of Duty®: Warzone™, NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 470 - DirectX 12.0 compatible system, 8 GB RAM, Windows® 10 64 Bit (latest update), Intel® Core™ i3-6100 / Core™ i5-2500K or AMD Ryzen™ 3 1200, 125 GB available space,1962663,Free,Infinity Ward,Activision,Action,"16 Nov, 2022","['Free to Play', 'FPS', 'Multiplayer', 'Battle Royale', 'Action', 'Shooter', 'Violent', 'Singleplayer', 'First-Person', 'Gore', 'Military', 'PvP', 'Online Co-Op', 'Survival', 'Co-op', 'Realistic', 'Open World', 'Third Person', 'Adventure', 'Atmospheric']",N/A,39875,5,10,1
162,It Takes Two, Nvidia GeForce GTX 660 or AMD R7 260x, 8 GB RAM,1, Intel Core i3-2100T or AMD FX 6100, 50 GB available space,1426210,"₩ 44,000",Hazelight Studios,Electronic Arts,Action,"25 Mar, 2021","['Co-op', 'Multiplayer', 'Split Screen', 'Local Co-Op', 'Puzzle', 'Online Co-Op', 'Adventure', 'Story Rich', 'Local Multiplayer', 'Co-op Campaign', 'Puzzle Platformer', '3D Platformer', 'Action-Adventure', 'Emotional', 'Platformer', 'Action', 'Exploration', 'Atmospheric', 'Minigames', 'Female Protagonist']",Overwhelmingly Positive,154873,9,10,1
163,Crusader Kings III, Nvidia® GeForce™ GTX 660 (2GB) / AMD® Radeon™ HD 7870 (2GB) / Intel® Iris Pro™ 580 / Intel® Iris® Plus G7 / AMD® Radeon™ Vega 11, 6 GB RAM, Windows® 10 Home 64 bit, Intel® Core™ i3-2120 / AMD® FX 6350, 8 GB available space,1158310,"₩ 145,300",Paradox Development Studio,Paradox Interactive,RPG,"1 Sep, 2020","['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'Life Sim', 'RTS', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', 'Political', '4X', 'Moddable', 'Multiplayer', 'Real-Time with Pause']",Very Positive,75149,9,10,1
164,Nine Sols, Nvidia GTX 950 | AMD R7 370, 8 GB RAM, Windows 10 64bit, AMD Athlon X4 | Intel Core i5 4460, 15 GB available space,1809540,"₩ 7,700",RedCandleGames,RedCandleGames,Action,"28 May, 2024","['Metroidvania', 'Action', 'Souls-like', 'Difficult', 'Platformer', '2D', 'Hand-drawn', 'Adventure', 'Atmospheric', 'Cats', 'Dark Fantasy', 'Story Rich', 'Sci-fi', 'Gore', 'Mythology', 'Indie', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'Comic Book']",Very Positive,14433,10,10,1
165,"Warhammer 40,000: Space Marine 2"," 6 GB VRAM, AMD Radeon RX 580 / Nvidia GeForce GTX 1060", 8 GB RAM, Windows 10 (1903 min)/11 64-bit, AMD Ryzen 5 2600X / Intel Core i5-8600K, 75 GB available space,2183900,"₩ 73,400",Saber Interactive,Focus Entertainment,Action,"9 Sep, 2024","['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Multiplayer', 'Co-op', 'PvE', 'Adventure', 'Action-Adventure', 'Third Person', 'Wargame', 'Sci-fi', '3D', 'Fantasy', 'Narration', 'War', 'Space', 'Singleplayer', 'Realistic', 'Cinematic', 'Futuristic']",Very Positive,89715,9,10,1
166,Euro Truck Simulator 2, NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM), 8 GB RAM, Windows 10 64-bit, Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,1,227300,"₩ 194,220",SCS Software,SCS Software,Indie,"18 Oct, 2012","['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Immersive Sim', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']",Overwhelmingly Positive,611388,10,10,1
167,Shin Megami Tensei V: Vengeance," NVIDIA GeForce GTX 550 Ti, 1 GB or AMD Radeon HD 7750, 1 GB", 6 GB RAM, Windows 10, Intel Core i5-2400 or AMD FX-6350, 30 GB available space,1875830,"₩ 12,560",ATLUS,SEGA,Adventure,"13 Jun, 2024","['JRPG', 'RPG', 'Story Rich', 'Demons', 'Adventure', 'Choices Matter', 'Exploration', 'Anime', 'Third Person', 'Turn-Based Strategy', '3D', 'Atmospheric', 'Dark', 'Multiple Endings', 'Difficult', 'Turn-Based', 'Destruction', 'Creature Collector', 'Singleplayer', 'Post-apocalyptic']",Very Positive,4546,9,10,1
168,Red Dead Redemption, NVIDIA GeForce GTX 960 / AMD Radeon R7 360, 8 GB RAM, Windows 10 64-Bit, Intel® Core™ i5-4670 / AMD FX-9590, 12 GB available space,2668510,"₩ 62,000",Rockstar Games,Rockstar Games,Action,"29 Oct, 2024","['Open World', 'Western', 'Story Rich', 'Singleplayer', 'Action', 'Zombies', 'Action-Adventure', 'Third-Person Shooter', 'Atmospheric', '3D', 'Great Soundtrack', 'Third Person', 'Narration', 'Shooter', 'Adventure', 'Classic', 'Sexual Content', 'Gore', 'Blood', 'Nudity']",Very Positive,4318,9,10,1
169,DARK SOULS™ III, NVIDIA® GeForce GTX 750 Ti / ATI Radeon HD 7950, 4 GB RAM,1, Intel Core i3-2100 / AMD® FX-6300, 25 GB available space,374320,"₩ 28,200","FromSoftware, Inc.","FromSoftware, Inc.",Action,"11 Apr, 2016","['Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Atmospheric', 'Lore-Rich', 'Third Person', 'Exploration', 'Story Rich', 'Action RPG', 'Co-op', 'Great Soundtrack', 'Adventure', 'Action', 'Multiplayer', 'PvP', 'Open World', 'Singleplayer', 'Character Customization', 'Replay Value']",Very Positive,252774,9,10,1
